APP,Vulnerability,Risk Level,File,Line,Input/Description,Tool,CVE/CWE
i2,File Upload,Medium,vuln_wa/FileUpload/fileupload1.php,Line 27,URL: http://localhost/vuln_wa/FileUpload/uploads/malicious.php?cmd=ls (Depois do ficheiro malicious.php ser submetido),Static Analysis,CWE-434: Unrestricted Upload of File with Dangerous Type
nsj11,Uncrypted Files,High,Directory PyconChat,-,cat usernames.txt,Static Analysis,CWE-311: Missing Encryption of Sensitive Data; CWE-313: Cleartext Storage in a File or on Disk;
nsj11,Brute Force,Medium,client.py,Line 189,Tentar diversas combinações de name:password até encontrar alguma correta.,Static Analysis,CWE-307: Improper Restriction of Excessive Authentication Attempts
nsj11,Path Transversal,High,server.py,-,file transfer: ../filename.txt,Wireshark,CWE-23: Relative Path Traversal
nsj11,Uncrypted Messages,High,server.py,-,Registo/Login e Admin visível no sniffer: name:password e name:admin ,Wireshark,CWE-319: Cleartext Transmission of Sensitive Information
nsj11,Denial of Service,High,client.py,Line 183 -184,Aceita conexões de qualquer cliente sem ratelimit ou verificação de IP.,Wireshark; Static Analysis,CWE-400: Uncontrolled Resource Consumption
jsw12,Denial of Service,High,P2Pserver.java,Line 25,Aceita conexões de qualquer cliente sem ratelimit ou verificação de IP.,Wireshark; Static Analysis,CWE-400: Uncontrolled Resource Consumption
jsw12,Deserialization of Untrusted Data,Medium,P2Pserver.java,Line 63,Inputs não sanitizados de fontes remotas,Snyk,CWE-502: Deserialization of Untrusted Data
jsw12,Cleartext Storage of Sensitive Information,High,P2Pclient.java,Line 118,As chaves privadas e públicas são armazenadas em ficheiros locais,Static Analysis,CWE-312 - Cleartext Storage of Sensitive Information
jsw12,Improper Input Validation,High,P2Pclient.java,Line 182,Não há validação adequada do input,Static Analysis,CWE-20 - Improper Input Validation
jsw12,Deserialization of Untrusted Data,Medium,P2Pclient.java,Line 44,Inputs não sanitizados de fontes remotas,Snyk,CWE-502: Deserialization of Untrusted Data
jsw12,Cleartext Transmission of Sensitive Information,High,P2Pclient.java,Line 209,Escrita em um socket não cifrado,Snyk,CWE-319: Cleartext Transmission of Sensitive Information
jsw12,Uncrypted Data,High,P2Pclient.java,Line 160,"cat registered_users.csv / Registo do login do cliente em csv (public_key, cliente ip and port, client username)",Static Analysis,CWE-311: Missing Encryption of Sensitive Data; CWE-313: Cleartext Storage in a File or on Disk;
jsw12,Cleartext Transmission of Sensitive Information,High,P2Pclient.java,Line 170,Fuga de dados do utilizador via network broadcast.,Wireshark; Static Analysis,CWE-319: Cleartext Transmission of Sensitive Information
jsw12,Improper Input Validation,High,P2Pclient.java,Line 48,"username: 1,2,3,4,5,6",Static Analysis,CWE-20 - Improper Input Validation
jsw12,Use of a Broken or Risky Cryptographic Algorithm,High,P2Pclient.java,Line 218,"Utilização de RSA com padding PKCS#1 v1.5, que poderá vulneravel a ataques de padding oracle",Static Analysis,CWE-327 - Use of a Broken or Risky Cryptographic Algorithm
