App,Description,Vulnerability,CWE,Exploit,File Location,Tool,References
Vulnerable Web Application,The code constructs the SQL query ($query) by directly inserting the value of $number (which comes from user input via $_POST) within single quotes.,SQL Injection - Improper Control of Argument to External Function,CWE-89,123' OR '1'='1,vuln_wa/SQL/sql3.php:38,WAP + horusec,https://cwe.mitre.org/data/definitions/89.html
Vulnerable Web Application,"While the code uses single quotes, they are constructed around the variable $number using string concatenation. This creates a similar risk as the previous examples.",SQL Injection - Improper Control of Argument to External Function,CWE-89, ' OR '1'='1,vuln_wa/SQL/sql5.php:50,WAP + horusec,https://cwe.mitre.org/data/definitions/89.html
Vulnerable Web Application,"In PHP, when you use a variable without quotes within double quotes, it undergoes implicit type conversion to a string. This means the numeric value of $number might be converted to a string representation.",SQL Injection - Improper Control of Argument to External Function,CWE-89,1 OR 1=1,vuln_wa/SQL/sql4.php:52,WAP + horusec,https://cwe.mitre.org/data/definitions/89.html
Vulnerable Web Application,"The code directly concatenates the user-uploaded filename ($_FILES[""file""][""name""]) with the upload path (/uploads/) to create the final path for storing the file.",Path Traversal - Improper Limitation of a Pathname to a Restricted Directory,CWE-22,An attacker could potentially craft a filename containing special characters or directory traversal sequences (../) that could be used to upload files to unintended locations on the server.,vuln_wa/FileUpload/fileupload1.php:28,WAP + horusec,https://cwe.mitre.org/data/definitions/22.html
Vulnerable Web Application,"The code directly concatenates the user-uploaded filename ($_FILES[""file""][""name""]) with the upload path (/uploads/) to create the final path for storing the file.",Path Traversal - Improper Limitation of a Pathname to a Restricted Directory,CWE-22,An attacker could potentially craft a filename containing special characters or directory traversal sequences (../) that could be used to upload files to unintended locations on the server.,vuln_wa/FileUpload/fileupload3.php:39,WAP + horusec,https://cwe.mitre.org/data/definitions/22.html
Vulnerable Web Application,"The $_GET[""username""] variable is not sanitized or validated. An attacker can inject malicious code into the username field.",Command Execution - Improper Neutralization of Special Elements used in an OS Command,CWE-78,; rm -rf / ;',vuln_wa/CommandExecution/CommandExec-1.php:25,WAP + horusec,https://cwe.mitre.org/data/definitions/78.html
Vulnerable Web Application,The code concatenates a string with the $user variable using a dot (.) operator.,Cross-Site Scripting (XSS) - Improper Neutralization of Input During Web Page Generation,CWE-79,"If $user contains malicious scripts (><script>alert('ola')</script>), these scripts could be injected into the output and potentially executed by the user's browser.",vuln_wa/XSS/XSS_level1.php:22,WAP + horusec,https://cwe.mitre.org/data/definitions/79.html
Vulnerable Web Application,The code snippet uses <?php echo $_SERVER['PHP_SELF']; ?> to set the action attribute of the form. This means the current script's filename is included in the form's action URL.,Cross-Site Scripting (XSS) - Improper Neutralization of Input During Web Page Generation,CWE-79,"If $user contains malicious scripts (><script>alert('ola')</script>), these scripts could be injected into the output and potentially executed by the user's browser.",vuln_wa/XSS/XSS_level5.php:14,WAP + horusec,https://cwe.mitre.org/data/definitions/79.html
Vulnerable Web Application,The code concatenates a string with the $user variable using a dot (.) operator.,Cross-Site Scripting (XSS) - Improper Neutralization of Input During Web Page Generation,CWE-79,"If $user contains malicious scripts (><script>alert('ola')</script>), these scripts could be injected into the output and potentially executed by the user's browser.",vuln_wa/XSS/XSS_level5.php:23,WAP + horusec,https://cwe.mitre.org/data/definitions/79.html
Vulnerable Web Application,The code concatenates a string with the $user variable using a dot (.) operator.,Cross-Site Scripting (XSS) - Improper Neutralization of Input During Web Page Generation,CWE-79,"If $user contains malicious scripts (><script>alert('ola')</script>), these scripts could be injected into the output and potentially executed by the user's browser.",vuln_wa/XSS/XSS_level3.php:22,WAP + horusec,https://cwe.mitre.org/data/definitions/79.html
Vulnerable Web Application,Double quotes allow variable interpolation. The value of $user is inserted into the string.,Cross-Site Scripting (XSS) - Improper Neutralization of Input During Web Page Generation,CWE-79,"If $user contains special characters like newline (\n) or quotes, they might be interpreted literally within the output.",vuln_wa/XSS/XSS_level4.php:24,WAP + horusec,https://cwe.mitre.org/data/definitions/79.html
Vulnerable Web Application,"The code directly concatenates the user-uploaded filename ($_FILES[""file""][""name""]) with the upload path (/uploads/) to create the final path for storing the file.",Path Traversal - Improper Limitation of a Pathname to a Restricted Directory,CWE-22,An attacker could potentially craft a filename containing special characters or directory traversal sequences (../) that could be used to upload files to unintended locations on the server.,vuln_wa/FileUpload/fileupload2.php:37,WAP + horusec,https://cwe.mitre.org/data/definitions/22.html
Vulnerable Web Application,The code lacks proper validation on the $target_file path.,Path Traversal - Improper Limitation of a Pathname to a Restricted Directory,CWE-22,"An attacker can potentially manipulate the filename submitted through the upload form ($_FILES[""file""][""name""]) to include special characters or sequences.",vuln_wa/FileUpload/fileupload1.php:27,WAP + horusec,https://cwe.mitre.org/data/definitions/22.html
Vulnerable Web Application,The code lacks proper validation on the $target_file path.,Path Traversal - Improper Limitation of a Pathname to a Restricted Directory,CWE-22,"An attacker can potentially manipulate the filename submitted through the upload form ($_FILES[""file""][""name""]) to include special characters or sequences.",vuln_wa/FileUpload/fileupload3.php:38,WAP + horusec,https://cwe.mitre.org/data/definitions/22.html
Vulnerable Web Application,"The software contains hard-coded credentials, $dbhost = 'localhost';",Use of Hard-coded Credentials,CWE-798,"By analysing the code, an attacker can see $dbhost = 'localhost'; ",vuln_wa/index.php:29,horusec,https://cwe.mitre.org/data/definitions/798.html
Vulnerable Web Application,"The software contains hard-coded credentials, $dbuser = 'root';",Use of Hard-coded Credentials,CWE-798,"By analysing the code, an attacker can see $dbuser = 'root';",vuln_wa/index.php:30,horusec,https://cwe.mitre.org/data/definitions/798.html
Vulnerable Web Application,"The software contains hard-coded credentials, $dbhost = 'localhost';",Use of Hard-coded Credentials,CWE-798,"By analysing the code, an attacker can see $dbhost = 'localhost'; ",vuln_wa/index.php:44,horusec,https://cwe.mitre.org/data/definitions/798.html
Vulnerable Web Application,"The software contains hard-coded credentials, $dbuser = 'root';",Use of Hard-coded Credentials,CWE-798,"By analysing the code, an attacker can see $dbuser = 'root';",vuln_wa/index.php:45,horusec,https://cwe.mitre.org/data/definitions/798.html
