Feed;Column1;_1;_2;_3;_4;_5;_6;Column2
;;Unsanitized input in SQL query;Using unsanitized data, such as user input or request data, or externally influenced data passed to a function, in SQL query exposes your application to SQL injection attacks.;;;Critical;Beaeer Cli;
;;Unsanitized user input in format string;Including user input directly in a format string can lead to security vulnerabilities. This issue arises when an attacker manipulates the format specifiers in the user input, resulting in misleading or fabricated messages.;;;High;Beaeer Cli;
;;Usage of default session cookie configuration;Using default session cookie configurations can expose your application to security vulnerabilities. This vulnerability arises when session cookie are set with their default values, making them predictable and easier to exploit.;;;Medium;Beaeer Cli;
;;Missing Helmet configuration on HTTP headers;Helmet can help protect your app from some well-known web vulnerabilities by setting HTTP headers appropriately. Failing to configure Helmet for HTTP headers leaves your application vulnerable to several web attacks.;;;Medium;Beaeer Cli;
;;Missing server configuration to reduce server fingerprinting;Reducing server fingerprinting enhances security by making it harder for attackers to identify the software your server is running. Server fingerprinting involves analyzing the unique responses of server software to specific requests, which can reveal information about the server's software and version.;;;Medium ;Beaeer Cli;
;;Usage of session on static asset;Enabling sessions for static assets can inadvertently expose your application to Cross-Site Request Forgery (CSRF) attacks.;;;Medium;Beaeer Cli;
;;Leakage of sensitive information in logger message ;Sensitive information leakage through logger messages can compromise user privacy and security.;;;Medium;Beaeer Cli;
;;Leakage of information in logger message;Information leakage through logger messages can compromise sensitive data. This vulnerability arises when dynamic data or variables, which may contain sensitive information, are included in log messages.;;;Low;Beaeer Cli;
2;abc21;SQL Injection;SQL injection may be possible;;;High;Zap;
;;SQL Injection - SQLite;SQL injection may be possible;;;High;Zap;
;;Content Security Policy (CSP) Header Not Set;Content Security Policy (CSP) is an added layer of security that helps to detect and mitigate certain types of attacks, including Cross Site Scripting (XSS) and data injection attacks. These attacks are used for everything from data theft to site defacement or distribution of malware. CSP provides a set of standard HTTP headers that allow website owners to declare approved sources of content that browsers should be allowed to load on that page � covered types are JavaScript, CSS, HTML frames, fonts, images and embeddable objects such as Java applets, ActiveX, audio and video files.;;;Medium;Zap;
;;Missing Anti-clickjacking Header;The response does not include either Content-Security-Policy with 'frame-ancestors' directive or X-Frame-Options to protect against 'ClickJacking' attacks.;;;Medium;Zap;
;;Cross-Domain Misconfiguration;Web browser data loading may be possible, due to a Cross Origin Resource Sharing (CORS) misconfiguration on the web server;;;Medium;Zap;
;;Cookie without SameSite Attribute;A cookie has been set without the SameSite attribute, which means that the cookie can be sent as a result of a 'cross-site' request. The SameSite attribute is an effective counter measure to cross-site request forgery, cross-site script inclusion, and timing attacks.;;;Low;Zap;
;;"Server Leaks Version Information via ""Server"" HTTP Response Header Field";"The web/application server is leaking version information via the ""Server"" HTTP response header. Access to such information may facilitate attackers identifying other vulnerabilities your web/application server is subject to.";;;Low;Zap;
;;X-Content-Type-Options Header Missing;The Anti-MIME-Sniffing header X-Content-Type-Options was not set to 'nosniff'. This allows older versions of Internet Explorer and Chrome to perform MIME-sniffing on the response body, potentially causing the response body to be interpreted and displayed as a content type other than the declared content type. Current (early 2014) and legacy versions of Firefox will use the declared content type (if one is set), rather than performing MIME-sniffing.;;;Low;Zap;
;;flask_debug_true;A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.;;;High;Bandit;
;;hardcoded_bind_all_interfaces;Possible binding to all interfaces.;;;Medium;Bandit;
;;hardcoded_sql_expressions;Possible SQL injection vector through string-based query construction.;;;Medium;Bandit;
3;ssj13;Information Exposure Through An Error Message;The sensitive information may be valuable information on its own (such as a password), or it may be useful for launching other, more deadly attacks.;;;High;Horusec;
;;SQL Injection;The input values included in SQL queries need to be passed in safely. Bind variables in prepared statements can be used to easily mitigate the risk of SQL injection. Alternatively to prepare statements, each parameter can be escaped manually.;;;High;Horusec;
;;SQL Injection With Turbine;The input values included in SQL queries need to be passed in safely. Bind variables in prepared statements can be used to easily mitigate the risk of SQL injection. Turbine API provide a DSL to build query with  code. Alternatively to prepare statements, each parameter can be escaped manually. ;;;High;Horusec;
;;SQL Injection JDBC;The input values included in SQL queries need to be passed in safely. Bind variables in prepared statements can be used to easily mitigate the risk of SQL injection.;;;High;Horusec;
;;TCP Server Socket;TCP Server Socket;;;Low;Horusec;
;;TCP Socket;TCP Socket;;;Low;Horusec;
4;vuln_wa (i2); Unsanitized user input in OS command;Executing OS commands that include user-supplied data can lead to command injection vulnerabilities.;;;Critical;Beaeer Cli;
;;Unsanitized external input in SQL query;Using unsanitized data, such as user input or request data, or externally influenced data passed to a function, in SQL query exposes your application to SQL injection attacks.;;;Critical;Beaeer Cli;
;;Unsanitized user input in raw HTML strings (XSS);Including unsanitized user input in HTML exposes your application to cross-site scripting (XSS) attacks. This vulnerability allows attackers to inject malicious scripts into web pages viewed by other users.;;;High;Beaeer Cli;
;;Unsanitized user input in 'echo' function (XSS);Including unsanitized user input in responses can lead to cross-site scripting (XSS) attacks. This vulnerability exposes your application to malicious scripts injected by attackers, compromising user data and browser security.;;;High;Beaeer Cli;
;; Unsanitized user input in code generation;Unsanitized user input in code generation can lead to code injection vulnerabilities. This occurs when an application dynamically generates or manipulates code using data provided by the user without proper sanitization.;;;High;Beaeer Cli;
;;Leakage of sensitive information with 'phpinfo' function;The use of the 'phpinfo()' function can lead to the leakage of sensitive information. This function outputs a large amount of information about the current state of PHP, including environment variables, server information, and PHP configuration settings, which could be exploited by unauthorized individuals.;;;Medium;Beaeer Cli;
;;Directory Browsing;It is possible to view the directory listing.  Directory listing may reveal hidden scripts, include files, backup source files, etc. which can be accessed to read sensitive information.;;Disable directory browsing.  If this is required, make sure the listed files does not induce risks.;Medium;Zap;
;;GET for POST;A request that was originally observed as a POST was also accepted as a GET. This issue does not represent a security weakness unto itself, however, it may facilitate simplification of other attacks. For example if the original POST is subject to Cross-Site Scripting (XSS), then this finding may indicate that a simplified (GET based) XSS may also be possible.;;Ensure that only POST is accepted where POST is expected.;Informational;Zap;
;;User Agent Fuzzer;Check for differences in response based on fuzzed User Agent (eg. mobile sites, access as a Search Engine Crawler). Compares the response statuscode and the hashcode of the response body with the original response.;;;Informational;Zap;
